                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6281,                 3.6783,                 1.2558,                0.03109,                0.93936,                0.19789,                 0.1278,                  1.044,                 3.4622,                0.90951,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.3343,                 2.0686,                 1.0734,                0.57296,                0.27903,                0.48257,                0.35228,                0.98456,                 2.4343,                0.93482,             0.00038493,             0.00038493,             0.00038493
                      3,                 1.2791,                 1.5534,                 1.0639,                0.75167,                0.60272,                0.70649,                0.51686,                0.97316,                 1.7036,                 0.9317,             0.00057707,             0.00057707,             0.00057707
                      4,                 1.2109,                 1.3422,                 1.0328,                0.69528,                0.73845,                0.82104,                0.57557,                 1.0827,                 1.4165,                0.94938,             0.00057927,             0.00057927,             0.00057927
                      5,                 1.1443,                 1.1436,                 1.0241,                 0.8467,                0.90658,                0.95719,                0.71055,                0.96629,                0.85956,                0.95666,             0.00057927,             0.00057927,             0.00057927
                      6,                 1.1184,                 1.0074,                 1.0101,                0.85183,                0.84872,                0.95343,                0.71754,                0.91342,                0.97781,                 0.9317,             0.00057636,             0.00057636,             0.00057636
                      7,                 1.0985,                0.94066,                 1.0038,                 0.9407,                0.94729,                0.96793,                0.74621,                0.87643,                0.71843,                0.92229,             0.00057345,             0.00057345,             0.00057345
                      8,                 1.0693,                0.88711,                0.99729,                0.95039,                0.93384,                0.97868,                0.75116,                0.85658,                0.75821,                 0.9386,             0.00057054,             0.00057054,             0.00057054
                      9,                 1.0606,                 0.8485,                 1.0001,                0.91861,                0.93973,                0.98073,                0.75508,                0.90124,                0.86899,                 0.9383,             0.00056763,             0.00056763,             0.00056763
                     10,                 1.0502,                0.81984,                 1.0067,                0.95563,                0.97789,                 0.9878,                0.72855,                 0.9728,                0.66999,                0.95336,             0.00056472,             0.00056472,             0.00056472
                     11,                 1.0351,                0.78466,                0.99521,                 0.9749,                0.97957,                0.98688,                 0.7659,                0.87432,                0.60199,                0.92182,              0.0005618,              0.0005618,              0.0005618
                     12,                 1.0129,                0.77529,                0.99005,                0.97109,                0.98117,                0.98645,                0.77573,                0.85341,                0.59746,                0.91796,             0.00055889,             0.00055889,             0.00055889
                     13,                0.99939,                0.74842,                0.98031,                0.97046,                 0.9879,                0.98582,                0.77618,                0.82236,                0.57165,                0.91431,             0.00055598,             0.00055598,             0.00055598
                     14,                 1.0027,                0.74302,                0.98368,                 0.9744,                0.97304,                 0.9854,                0.77282,                 0.8307,                0.54401,                0.91502,             0.00055307,             0.00055307,             0.00055307
                     15,                0.98004,                0.71519,                0.97739,                0.97521,                0.98535,                0.98605,                0.77104,                0.86313,                0.54033,                0.91868,             0.00055016,             0.00055016,             0.00055016
                     16,                0.96722,                0.70263,                0.97767,                0.98184,                 0.9875,                0.98843,                0.79175,                0.79692,                0.52107,                0.90796,             0.00054725,             0.00054725,             0.00054725
                     17,                0.96852,                 0.6947,                0.97213,                0.97549,                0.98196,                0.98982,                0.77249,                0.86829,                0.53243,                0.94531,             0.00054434,             0.00054434,             0.00054434
                     18,                 0.9598,                0.67133,                0.96475,                0.97498,                0.98368,                0.98799,                0.77257,                0.85602,                0.50866,                 0.9221,             0.00054143,             0.00054143,             0.00054143
